iter	RMSE
960	0.888972808
961	0.8889728075
962	0.8889728069
963	0.8889728069
964	0.8889728064
965	0.8889728064
966	0.8889728055
967	0.8889728049
968	0.8889728049
969	0.8889728045
970	0.8889728044
971	0.8889728044
972	0.8889728041
973	0.8889728039
974	0.8889728037
975	0.8889728037
976	0.8889728037
977	0.8889728031
978	0.8889728027
979	0.8889728027
980	0.888972802
981	0.8889728019
982	0.8889728017
983	0.8889728017
984	0.8889728015
985	0.8889728015
986	0.8889728011
987	0.8889728011
988	0.8889728011
989	0.8889728011
990	0.8889728008
991	0.8889728007
992	0.8889728007
993	0.8889728007
994	0.8889728002
995	0.8889728002
996	0.8889728002
997	0.8889727999
998	0.8889727998
999	0.8889727988

999	0.8842553989
.8591637791
